Movie,Summary,Genre,Emotion,4Emotion,PN,CS,Instrument
천하장사마돈나,"Two people sit on a bench, one taking pictures while the other crumples a note. The note asks for a favor in poor handwriting. The scene changes to someone pouring water and running away excitedly.",드라마,-3,D,0,1,키보드
천하장사마돈나,"During an English class, a camera captures the teacher's back while a student named Dong-gu stares at him with a dreamy expression. Suddenly, Dong-gu's heart starts racing and the teacher asks him to read a passage. As Dong-gu struggles to concentrate, he imagines the teacher confessing his feelings for him. When the teacher snaps him back to reality, Dong-gu is embarrassed and flustered.",판타지,3,A,1,1,키보드
천하장사마돈나,"A person named Dong-gu is sitting at a desk and playing with wrestling panties. They look around and stretch their hands. They stand in front of a long mirror on the wall, wearing only wrestling panties, and awkwardly cover their chest with their hands. They see a Madonna bromide and make different poses in front of the mirror, including the Madonna pose and wrestling pose, laughing and making faces.",판타지,4,A,1,1,음율타악기
천하장사마돈나,"A teacher and student embrace after the student's achievement, with the teacher expressing gratitude. The student asks the teacher to pinch their cheek as proof of the moment's reality. The teacher obliges, ending the joyful ballet music abruptly. The student's smile fades.",판타지,2,B,1,0,키보드
천하장사마돈나,"A student named Dong-gu is excited to see his English teacher and holds candy while waiting for him. The teacher tells him to go somewhere and Dong-gu sadly walks away. He stops and turns around to tell the teacher that he will do well in his upcoming competition. The teacher responds with a simple ""okay"" and Dong-gu excitedly runs away to make a phone call. The teacher is left stunned.",로맨스,1,B,1,0,키보드
천하장사마돈나,"A mother and son have a conversation about living life on one's own terms. The son expresses his happiness with his current lifestyle, which may not be seen as conventional by others. The mother acknowledges her son's desires and promises to respect them. The son becomes emotional and the mother comforts him.",드라마,-1,C,0,0,피아노
천하장사마돈나,"A father and son have a heated argument, but the father eventually calms down and lets go of his son's neck. The son is told to go inside, but the father holds his hand before he leaves. The father tells his son to win and not be a loser like him. The son is led away by a crowd, leaving the father alone to hold back tears.",드라마,-1,C,0,0,현악기
신부수업,"Two men, Gyu-sik and Sun-dal, stand in front of a church. Sun-dal drops a bag and they both have serious expressions. Sun-dal smokes a cigarette while Gyu-sik looks tense and swallows saliva.",일상,2,B,1,0,현악기
신부수업,"A man named 규식 chases after a truck and manages to climb onto the cargo area. As he tries to clear away a foul-smelling cloth, he is suddenly surrounded by aggressive dogs. Despite being hit by the metal bars of their cages, he continues to sing and pray until the truck finally stops.",코미디,2,B,1,0,관악기
신부수업,"A shining silver cross with a red glow in a church during a funeral. The emcee introduces the choir for a special blessing song for the newlyweds. The choir comes out and receives applause from the tired audience. The choir prepares and sings a beautiful harmony, ending the event.",로맨스,2,B,1,0,관악기
신부수업,Bong-hee reminisces about a promise to buy Kyu-sik a pair of ribbon shoes when she was 8 years old. Kyu-sik apologizes for momentarily forgetting to include the person he loves in his prayer. They share a silent moment as the sunset begins.,로맨스,2,B,1,0,현악기
신부수업,Bong-hee reveals she couldn't receive baptism and won't be able to attend Gu-sik's ordination. She also announces she will be returning to the US with Jin-ho. Gu-sik is shocked but tries to hide it. Both walk away awkwardly with broken hearts.,드라마,-1,C,0,0,피아노
신부수업,"A man enters a quiet building at dawn, his footsteps breaking the silence. The old door creaks open cautiously. It is still early in the morning.",판타지,1,B,1,0,관악기
신부수업,A person named 규식 is looking at a cross on a bell tower in the dark. He draws a cross and says he will become a priest soon. He pulls the rope to ring the bell and smiles brightly.,판타지,3,A,1,1,타악기
신부수업,"A boy named 꼬마1 and 규식 see a woman named 봉희 sunbathing in a bikini and 규식 becomes aroused. He tries to suppress his feelings and runs away. On the roof, 선달 and 인부들 are looking at something with content expressions. They are looking at the laundry hanging next to the convent where 봉희 is sunbathing.",코미디,1,B,1,0,관악기
신부수업,"Bong-hee helps Kim Su-nyeo distribute milk and bread to kindergarten children, while feeling bored and fidgety. Kyu-sik and Sun-dal are seen stealing glances when the camera is not on them. Sun-dal advises Kyu-sik that the most important thing in a blind date is to introduce the other person. Bong-hee sits on a bench after distributing snacks to the children, and Kyu-sik cautiously sits next to her.",일상,1,B,1,0,현악기
신부수업,"Two friends, Gyu-sik and Bong-hee, are playfully chasing each other down a street. Gyu-sik tries to catch Bong-hee, but Bong-hee quickly stops him by shouting ""ice!"" and making him freeze in place. Bong-hee laughs and runs away, while Gyu-sik is amused by his friend's playful behavior and chases after him. They continue to run down the street together.",로맨스,2,B,1,0,현악기
신부수업,"Gyusik, wearing a suit, stops in front of the bride's waiting room and sees Bonghee in a wedding dress through a glass window. Bonghee pledges to love Gyusik until they are separated by the heavens. Gyusik unconsciously touches his cross necklace while looking at Bonghee. Suddenly, a photographer and his assistant appear and push Gyusik into the waiting room to take a photo. Both Gyusik and Bonghee feel embarrassed by their sudden appearance.",로맨스,1,B,1,0,현악기
신부수업,"Bong-hee reminisces about receiving a strange gift from her crush, Jin-ho, and believes it to be fate. Kyu-sik takes her business card and reminds her to forget about Jin-ho. The awkward tension between them is interrupted by a sudden noise.",드라마,-1,C,0,0,현악기
신부수업,"규식 starts reciting a long prayer with closed eyes, and when he opens them, he sees Bong-hee sleeping. He tries to wake her up but stops himself from touching her hair. Bong-hee suddenly wakes up and shakes her rosary.",로맨스,3,A,1,1,어쿠스틱기타
신부수업,"A group of people connect sockets to light up a dark street with streetlights. One of them, Seondal, boasts about the different streetlights he helped fix. Another person, Namshinbu, seems unimpressed and walks away. Seondal jokes about how lighting up the street is more important than lighting up people's hearts. Namshinbu suggests that Seondal can light up the rest of the street himself. The group laughs, but one person, Gyusik, feels embarrassed.",일상,1,B,1,0,현악기
귀신이 산다,Two men approach a house and enter with a real estate agent. The agent comments on the view and the price of the house. One of the men is captivated by the ocean view. The agent encourages them to make a decision.,스릴러,-4,D,0,1,현악기
귀신이 산다,A father drags his owner by the neck outside while the owner's family tries to stop him. The father accuses the owner of not paying enough for the work done and throws objects at him. The owner denies intentionally mistreating the father and the father threatens to kill him. The scene ends with the father throwing objects at the owner and a bystander watching with a blank expression.,드라마,-1,C,0,0,키보드
귀신이 산다,"A man named Park Pil-gi touches a large plaque with his name on it and begins nailing it to a wall. After finishing, he looks at it and tears begin to fall from his eyes. Later, Pil-gi excitedly tells his father that he has bought a house by the sea, and cries tears of joy. The camera pans to the beautiful white house on a hill overlooking the ocean.",일상,3,A,1,1,현악기
귀신이 산다,"A woman named Pilgi is confronted by her boss, who tells her to leave his house or she will die. As she tries to leave, the furniture in the house begins to move on its own and attack her. She is chased by a flying knife and barely escapes with her life.",스릴러,-4,D,0,1,현악기
귀신이 산다,A person is writing when they hear a sound behind them and feel a cold presence. They try to move away but their hand and foot switch places. They run away from a hand and foot that are approaching them. They eventually throw a chair at a window and escape. The person is left crying and scared.,스릴러,-4,D,0,1,키보드
